step,sim_time,sim_time_str,drain_count
347,272016.0,75:33,170
348,272016.0,75:33,170
349,272016.0,75:33,170
350,272016.0,75:33,170
351,272016.0,75:33,170
352,272016.0,75:33,170
353,272016.0,75:33,170
354,272016.0,75:33,170
355,272016.0,75:33,170
356,272016.0,75:33,170
357,272016.0,75:33,170
358,272016.0,75:33,170
359,272016.0,75:33,170
360,272016.0,75:33,170
361,272016.0,75:33,170
362,272016.0,75:33,170
363,272016.0,75:33,170
364,272016.0,75:33,170
365,272016.0,75:33,170
366,272016.0,75:33,170
367,272016.0,75:33,170
368,272016.0,75:33,170
369,272016.0,75:33,170
370,272016.0,75:33,170
371,272016.0,75:33,170
372,272016.0,75:33,170
373,272016.0,75:33,170
374,272016.0,75:33,170
375,272016.0,75:33,170
376,272016.0,75:33,170
377,272016.0,75:33,170
378,272016.0,75:33,170
379,297957.0,82:45,180
380,297957.0,82:45,180
381,297957.0,82:45,180
382,297957.0,82:45,180
383,297957.0,82:45,180
384,297957.0,82:45,180
385,297957.0,82:45,180
386,297957.0,82:45,180
387,297957.0,82:45,180
388,297957.0,82:45,180
389,297957.0,82:45,180
390,297957.0,82:45,180
391,297957.0,82:45,180
392,297957.0,82:45,180
393,297957.0,82:45,180
394,297957.0,82:45,180
395,297957.0,82:45,180
396,297957.0,82:45,180
397,297957.0,82:45,180
398,297957.0,82:45,180
399,297957.0,82:45,180
400,297957.0,82:45,180
401,297957.0,82:45,180
402,297957.0,82:45,180
403,297957.0,82:45,180
404,317585.25,88:13,190
405,317585.25,88:13,190
406,317585.25,88:13,190
407,317585.25,88:13,190
408,317585.25,88:13,190
409,317585.25,88:13,190
410,317585.25,88:13,190
411,317585.25,88:13,190
412,317585.25,88:13,190
413,317585.25,88:13,190
414,317585.25,88:13,190
415,317585.25,88:13,190
416,317585.25,88:13,190
417,317585.25,88:13,190
418,317585.25,88:13,190
419,317585.25,88:13,190
420,330155.25,91:42,200
421,330155.25,91:42,200
422,330155.25,91:42,200
423,330155.25,91:42,200
424,330155.25,91:42,200
425,330155.25,91:42,200
426,330155.25,91:42,200
427,330155.25,91:42,200
428,330155.25,91:42,200
429,330155.25,91:42,200
430,330155.25,91:42,200
431,330155.25,91:42,200
432,330155.25,91:42,200
433,330155.25,91:42,200
434,330155.25,91:42,200
435,330155.25,91:42,200
436,330155.25,91:42,200
437,330155.25,91:42,200
438,330155.25,91:42,200
439,330155.25,91:42,200
440,330155.25,91:42,200
441,330155.25,91:42,200
442,330155.25,91:42,200
443,330155.25,91:42,200
444,330155.25,91:42,200
445,349805.25,97:10,210
446,349805.25,97:10,210
447,349805.25,97:10,210
448,349805.25,97:10,210
449,349805.25,97:10,210
450,349805.25,97:10,210
451,349805.25,97:10,210
452,349805.25,97:10,210
453,349805.25,97:10,210
454,349805.25,97:10,210
455,349805.25,97:10,210
456,349805.25,97:10,210
457,349805.25,97:10,210
458,349805.25,97:10,210
459,349805.25,97:10,210
460,349805.25,97:10,210
461,349805.25,97:10,210
462,349805.25,97:10,210
463,349805.25,97:10,210
464,364722.75,101:18,220
