State,Action_0,Action_1,Action_2
204,-1.6084023149079334,461.8705173136987,-0.143405929
205,-2.3004829238902595,453.90941382371557,-0.271
206,2.492274522096075,2.04170533,448.0790174533772
207,-0.6083843789047129,-0.7302693453073993,423.2516315973991
208,-1.1950996,-1.009351302615516,452.2029909892696
209,-0.475317948219968,-1.7321315078633273,468.9614001460698
210,-1.186418476567889,-0.9837330199833697,434.3635696403453
211,-1.245610340496986,-1.0776527929259705,462.8564997251036
212,-1.125760036212092,-1.3004256219043304,476.50683227389857
213,-1.0875035656373786,444.2190965611113,-0.48582533978007186
214,-1.9463284203381472,-1.23407917233,478.96845851253426
215,450.1084786972591,-1.4637034002897278,-0.271
216,396.9740813148082,0.008910000000000001,-0.27001990000000003
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,411.51842490193957,0.0,-0.271
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,464.5959225555998,0.0,-0.9834248071
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,402.1579863599295,-0.5926672103550154,-0.232459206109687
226,432.65440093187436,-0.8778696049687964,-0.093747999844
227,461.8705173136987,-1.6084023149079334,-0.143405929
228,412.78682507360713,-0.7075759955271647,-0.14544055018937385
229,435.18714275632095,-1.5994194634159953,-0.193228174
230,453.90941382371557,-2.3004829238902595,-0.271
231,2.1979007000000004,420.58990976147953,-0.30703702025949065
232,439.8617241590488,-0.40549997041691,-0.899703542174084
233,2.04170533,2.492274522096075,448.0790174533772
234,0.48881109,0.47991000000000006,55.76525920647995
235,0.0,10.402645443498578,0.0
236,3.6466290223942712,32.22930907303636,8.439088153039403
237,10.402645443498578,0.0,0.0
238,0.0,0.0,0.0
239,5.378613293459369,0.0,3.210839108584757
240,32.22930907303636,3.6466290223942712,8.439088153039403
241,0.0,5.378613293459369,3.210839108584757
242,33.580335774034765,33.580335774034765,0.0
243,404.6481438846198,-0.2785443608538303,-0.27289090000000005
244,418.5986351528053,-1.0599667335084721,-0.26209000000000005
245,439.2752277565399,-1.6413091042712518,-0.10117243000000002
246,428.91782542316423,-0.5802039009640534,-0.08340135762189702
247,434.0329104241015,-1.0003936861904998,-0.18586
248,435.3374322469031,-2.141367668028982,-0.09761762036162441
249,483.7000416340603,-0.6087181509073625,0.2189833807314785
250,469.53014264387724,-1.3041866170300394,-0.1764895198963356
251,3.671132275112565,423.1669237445859,0.7315116579062152
252,-0.6840001976211343,398.8396503305528,-0.23507664319
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,-0.7892414882215989,414.7006619080917,-0.16279308909999998
256,0.0,0.0,0.0
257,0.0,0.0,0.0
258,-1.918229946182027,438.6033084461623,-0.2680597
259,0.0,0.0,0.0
260,0.0,0.0,0.0
261,-0.7302693453073993,-0.6083843789047129,423.2516315973991
262,-0.9837330199833697,-1.186418476567889,434.3635696403453
263,444.2190965611113,-1.0875035656373786,-0.48582533978007186
264,-1.009351302615516,-1.1950996,452.2029909892696
265,-1.0776527929259705,-1.245610340496986,462.8564997251036
266,-1.23407917233,-1.9463284203381472,478.96845851253426
267,-1.7321315078633273,-0.475317948219968,468.9614001460698
268,-1.3004256219043304,-1.125760036212092,476.50683227389857
269,-1.4637034002897278,450.1084786972591,-0.271
270,-0.2785443608538303,404.6481438846198,-0.27289090000000005
271,-0.5802039009640534,428.91782542316423,-0.08340135762189702
272,-0.6087181509073625,483.7000416340603,0.2189833807314785
273,-1.0599667335084721,418.5986351528053,-0.26209000000000005
274,-1.0003936861904998,434.0329104241015,-0.18586
275,-1.3041866170300394,469.53014264387724,-0.1764895198963356
