State,Action_0,Action_1,Action_2
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,640.0950879557753,-0.091419070863719,-0.26840038276
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,682.1832827816019,0.04855752000000001,-0.066268
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.7245768528793686,0.7116036454935619,-0.28090000000000004
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.3614619075828273,2.930619021561207,-0.35413614051776543
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,11.289122879964344,-0.1
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,2.930619021561207,0.3614619075828273,-0.35413614051776543
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,11.289399014765587,0.0,-0.1
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,606.9632207408035,-0.5460153974983185,-0.2591407801
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,649.0023613775309,-3.8017632600174376,-0.21536787848331898
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,682.496553194851,-8.980626156434885,-0.08894721699999998
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,650.8976012483466,-1.4229157803999999,-0.08715238861959998
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,670.8652578299318,-3.506167274337886,-0.1462996
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,708.4729947079084,-9.492036024119884,0.05357571631595001
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,686.2131069551281,-0.52024,-0.039993789891699986
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,705.9699482647497,-2.6375624710340038,0.06787792198271733
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,741.0542383161944,-7.806739005322575,1.9087049348751726
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,-1.15223582,604.5560237220368,-0.2671805493199
164,-1.042,598.7746388889454,-0.28181360014680523
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,-3.977206980190197,637.1771024126674,-0.17451025902785494
173,-4.327117597725742,637.03784788929,-0.2971504136562104
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,-7.610485410501221,671.7361567878037,1.0990259037193253
182,-10.77537970267628,673.7454454576341,-0.066268
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,-0.5461026370814086,606.9975746543398,-0.2601199
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,-1.4229157803999999,650.898287379864,-0.08715238861959998
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,-0.52024,686.2156924430178,-0.039993789891699986
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,-3.801862126365343,649.0018729932334,-0.21536787848331898
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,-3.5061673309352477,670.8648477678681,-0.1462996
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,-2.6375618044826714,705.9694947327229,0.06787792198271733
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,-8.979120722370167,682.4963883466805,-0.08894721699999998
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,-9.49200284189561,708.4733426696707,0.05357571631595001
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,-7.806736803171296,741.0546402832146,1.9096099341501462
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,-1.4049910237092815,-1.4048163167636505,596.5010513627093
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,-2.82159286367564,-3.153970173451926,634.365692643613
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,-0.11919373111595838,-7.7631699550877835,671.279642242787
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,-3.153902829617307,-2.821592506642025,634.3650235257403
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,-2.7918833946460935,-2.7630147308263098,655.9958306958374
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,-1.3136300070714606,-7.37654158131336,693.8235552012324
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,-7.7630431515795495,-0.11919373111595838,671.278745311326
237,0.0,0.0,0.0
238,0.0,0.0,0.0
