step,sim_time,sim_time_str,drain_count
104,75037.52508529514,1250:38,40
105,75037.52508529514,1250:38,40
106,75037.52508529514,1250:38,40
107,75037.52508529514,1250:38,40
108,75037.52508529514,1250:38,40
109,75037.52508529514,1250:38,40
110,75037.52508529514,1250:38,40
111,75037.52508529514,1250:38,40
112,75037.52508529514,1250:38,40
113,75037.52508529514,1250:38,40
114,75037.52508529514,1250:38,40
115,75037.52508529514,1250:38,40
116,75037.52508529514,1250:38,40
117,75037.52508529514,1250:38,40
118,75037.52508529514,1250:38,40
119,75037.52508529514,1250:38,40
120,75037.52508529514,1250:38,40
121,75037.52508529514,1250:38,40
122,75037.52508529514,1250:38,40
123,75037.52508529514,1250:38,40
124,75037.52508529514,1250:38,40
125,75037.52508529514,1250:38,40
126,75037.52508529514,1250:38,40
127,75037.52508529514,1250:38,40
128,75037.52508529514,1250:38,40
129,75037.52508529514,1250:38,40
130,75037.52508529514,1250:38,40
131,75037.52508529514,1250:38,40
132,75037.52508529514,1250:38,40
133,75037.52508529514,1250:38,40
134,75037.52508529514,1250:38,40
135,75037.52508529514,1250:38,40
136,75037.52508529514,1250:38,40
137,75037.52508529514,1250:38,40
138,75037.52508529514,1250:38,40
139,75037.52508529514,1250:38,40
140,75037.52508529514,1250:38,40
141,75037.52508529514,1250:38,40
142,75037.52508529514,1250:38,40
143,112882.63214329584,1881:23,50
144,112882.63214329584,1881:23,50
145,112882.63214329584,1881:23,50
146,112882.63214329584,1881:23,50
147,116039.51764500175,1934:00,60
148,116039.51764500175,1934:00,60
149,116039.51764500175,1934:00,60
150,116039.51764500175,1934:00,60
151,116039.51764500175,1934:00,60
152,116039.51764500175,1934:00,60
153,116039.51764500175,1934:00,60
154,116039.51764500175,1934:00,60
155,116039.51764500175,1934:00,60
156,116039.51764500175,1934:00,60
157,116039.51764500175,1934:00,60
158,116039.51764500175,1934:00,60
159,116039.51764500175,1934:00,60
160,126287.03864841355,2104:47,70
161,126287.03864841355,2104:47,70
162,126287.03864841355,2104:47,70
163,126287.03864841355,2104:47,70
164,126287.03864841355,2104:47,70
165,126287.03864841355,2104:47,70
166,126287.03864841355,2104:47,70
167,126287.03864841355,2104:47,70
168,126287.03864841355,2104:47,70
169,126287.03864841355,2104:47,70
170,126287.03864841355,2104:47,70
171,126287.03864841355,2104:47,70
172,126287.03864841355,2104:47,70
173,126287.03864841355,2104:47,70
174,126287.03864841355,2104:47,70
175,126287.03864841355,2104:47,70
176,126287.03864841355,2104:47,70
177,126287.03864841355,2104:47,70
178,126287.03864841355,2104:47,70
179,126287.03864841355,2104:47,70
180,126287.03864841355,2104:47,70
181,126287.03864841355,2104:47,70
182,126287.03864841355,2104:47,70
183,126287.03864841355,2104:47,70
184,126287.03864841355,2104:47,70
185,126287.03864841355,2104:47,70
186,126287.03864841355,2104:47,70
187,126287.03864841355,2104:47,70
188,126287.03864841355,2104:47,70
189,149182.5501705903,2486:23,80
190,149182.5501705903,2486:23,80
191,149182.5501705903,2486:23,80
192,149182.5501705903,2486:23,80
193,149182.5501705903,2486:23,80
194,149182.5501705903,2486:23,80
195,149182.5501705903,2486:23,80
196,149182.5501705903,2486:23,80
197,149182.5501705903,2486:23,80
198,149182.5501705903,2486:23,80
199,149182.5501705903,2486:23,80
200,157874.43567229618,2631:14,90
201,157874.43567229618,2631:14,90
202,157874.43567229618,2631:14,90
